net,length_um
_00377_,31.885µm
_00761_,31.84µm
net232,31.79µm
_00162_,31.785µm
_00309_,31.785µm
mac_acc_in3\[1\],31.66µm
_01165_,31.62µm
net421,31.62µm
u_MAC44.mac_weight\[6\],31.42µm
_01341_,31.32µm
net336,31.295µm
u_MAC24.mac_weight\[6\],31.26µm
_05385_,31.06µm
_00048_,31µm
_04266_,31µm
mac_wt_in2\[7\],30.96µm
_00403_,30.945µm
_00821_,30.92µm
net26,30.9µm
mac_wt_in3\[11\],30.85µm
mac_acc_in3\[64\],30.79µm
_03159_,30.71µm
net274,30.7µm
_00333_,30.665µm
net325,30.66µm
_02428_,30.62µm
_03170_,30.56µm
net246,30.5µm
_01469_,30.46µm
_01536_,30.36µm
net844,30.36µm
_06350_,30.26µm
mac_data_in2\[29\],30.18µm
_03408_,30.16µm
_01365_,29.98µm
_06217_,29.98µm
mac_data_in2\[15\],29.98µm
_05903_,29.96µm
_01401_,29.92µm
net48,29.88µm
_04115_,29.82µm
_04218_,29.8µm
_01582_,29.78µm
_05387_,29.74µm
_00715_,29.72µm
mac_acc_in1\[33\],29.64µm
net39,29.62µm
_00906_,29.6µm
_01198_,29.54µm
_04626_,29.5µm
_02071_,29.42µm
clknet_leaf_16_clk,29.42µm
_02300_,29.4µm
_01545_,29.38µm
_03962_,29.38µm
mac_acc_out3\[41\],29.32µm
_00334_,29.285µm
net821,29.185µm
_04339_,29.17µm
_02056_,29.16µm
net822,29.06µm
net849,29.06µm
_04952_,29.02µm
_01204_,28.9µm
net514,28.9µm
_00934_,28.88µm
net509,28.84µm
_05373_,28.8µm
net381,28.73µm
net44,28.72µm
_00682_,28.7µm
_06114_,28.66µm
_03787_,28.6µm
_03479_,28.44µm
_01544_,28.42µm
mac_acc_in3\[12\],28.32µm
