Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_477,VPWR,li1,225.6300,388.9600,1.799797
FILLER_138_475,VPWR,li1,224.2500,388.9600,1.799798
FILLER_138_472,VPWR,li1,223.3300,388.9600,1.799798
FILLER_138_469,VPWR,li1,221.9500,388.9600,1.799798
FILLER_138_466,VPWR,li1,220.5700,388.9600,1.799798
FILLER_138_463,VPWR,li1,219.1900,388.9600,1.799798
FILLER_138_460,VPWR,li1,217.8100,388.9600,1.799799
FILLER_138_457,VPWR,li1,216.4300,388.9600,1.799799
FILLER_138_454,VPWR,li1,215.0500,388.9600,1.799799
FILLER_138_451,VPWR,li1,213.6700,388.9600,1.799799
FILLER_138_448,VPWR,li1,212.2900,388.9600,1.799800
FILLER_138_423,VPWR,li1,200.3300,388.9600,1.799813
FILLER_138_315,VPWR,li1,150.6500,388.9600,1.799737
FILLER_138_312,VPWR,li1,149.7300,388.9600,1.799737
FILLER_138_309,VPWR,li1,148.3500,388.9600,1.799727
FILLER_138_307,VPWR,li1,146.9700,388.9600,1.799718
FILLER_138_288,VPWR,li1,138.6900,388.9600,1.799693
FILLER_138_285,VPWR,li1,137.3100,388.9600,1.799686
FILLER_138_235,VPWR,li1,113.8500,388.9600,1.799645
FILLER_138_232,VPWR,li1,112.9300,388.9600,1.799645
FILLER_138_197,VPWR,li1,96.8300,388.9600,1.799660
FILLER_138_178,VPWR,li1,87.8600,388.9600,1.799681
FILLER_138_160,VPWR,li1,79.5800,388.9600,1.799706
FILLER_138_157,VPWR,li1,78.4300,388.9600,1.799713
FILLER_138_139,VPWR,li1,69.6900,388.9600,1.799743
FILLER_138_136,VPWR,li1,68.7700,388.9600,1.799752
FILLER_138_103,VPWR,li1,53.1300,388.9600,1.799813
FILLER_138_100,VPWR,li1,52.2100,388.9600,1.799823
FILLER_138_97,VPWR,li1,50.8300,388.9600,1.799823
FILLER_138_94,VPWR,li1,49.4500,388.9600,1.799836
FILLER_138_91,VPWR,li1,48.0700,388.9600,1.799836
FILLER_138_88,VPWR,li1,46.6900,388.9600,1.799848
FILLER_138_85,VPWR,li1,45.3100,388.9600,1.799848
FILLER_138_83,VPWR,li1,43.9300,388.9600,1.799857
FILLER_138_80,VPWR,li1,43.0100,388.9600,1.799865
FILLER_138_77,VPWR,li1,41.6300,388.9600,1.799865
FILLER_138_74,VPWR,li1,40.2500,388.9600,1.799875
FILLER_138_71,VPWR,li1,38.8700,388.9600,1.799884
FILLER_138_68,VPWR,li1,37.4900,388.9600,1.799884
FILLER_138_65,VPWR,li1,36.1100,388.9600,1.799894
FILLER_138_62,VPWR,li1,34.7300,388.9600,1.799902
FILLER_138_59,VPWR,li1,33.3500,388.9600,1.799902
FILLER_138_56,VPWR,li1,31.9700,388.9600,1.799911
FILLER_138_53,VPWR,li1,30.5900,388.9600,1.799921
FILLER_138_50,VPWR,li1,29.2100,388.9600,1.799921
FILLER_138_47,VPWR,li1,27.8300,388.9600,1.799934
FILLER_138_44,VPWR,li1,26.4500,388.9600,1.799934
FILLER_138_41,VPWR,li1,25.0700,388.9600,1.799946
FILLER_138_38,VPWR,li1,23.6900,388.9600,1.799946
FILLER_138_35,VPWR,li1,22.3100,388.9600,1.799955
FILLER_138_32,VPWR,li1,20.9300,388.9600,1.799955
FILLER_138_29,VPWR,li1,19.5500,388.9600,1.799955
FILLER_138_27,VPWR,li1,18.1700,388.9600,1.799955
FILLER_138_24,VPWR,li1,17.2500,388.9600,1.799955
FILLER_138_21,VPWR,li1,15.8700,388.9600,1.799955
FILLER_138_18,VPWR,li1,14.4900,388.9600,1.799955
FILLER_138_15,VPWR,li1,13.1100,388.9600,1.799955
FILLER_138_12,VPWR,li1,11.7300,388.9600,1.799955
FILLER_138_9,VPWR,li1,10.3500,388.9600,1.799955
FILLER_138_6,VPWR,li1,8.9700,388.9600,1.799955
FILLER_138_3,VPWR,li1,7.5900,388.9600,1.799955
FILLER_137_827,VPWR,li1,386.6300,383.5200,1.799974
FILLER_137_824,VPWR,li1,385.2500,383.5200,1.799974
FILLER_137_821,VPWR,li1,383.8700,383.5200,1.799974
FILLER_137_818,VPWR,li1,382.4900,383.5200,1.799974
FILLER_137_815,VPWR,li1,381.1100,383.5200,1.799974
FILLER_137_812,VPWR,li1,379.7300,383.5200,1.799974
FILLER_137_809,VPWR,li1,378.3500,383.5200,1.799974
FILLER_137_806,VPWR,li1,376.9700,383.5200,1.799974
FILLER_137_803,VPWR,li1,375.5900,383.5200,1.799974
FILLER_137_800,VPWR,li1,374.2100,383.5200,1.799974
FILLER_137_797,VPWR,li1,372.8300,383.5200,1.799974
FILLER_137_794,VPWR,li1,371.4500,383.5200,1.799974
FILLER_137_791,VPWR,li1,370.0700,383.5200,1.799974
FILLER_137_788,VPWR,li1,368.6900,383.5200,1.799974
FILLER_137_785,VPWR,li1,367.3100,383.5200,1.799974
FILLER_137_783,VPWR,li1,365.9300,383.5200,1.799974
FILLER_137_780,VPWR,li1,365.0100,383.5200,1.799974
FILLER_137_777,VPWR,li1,363.6300,383.5200,1.799974
FILLER_137_774,VPWR,li1,362.2500,383.5200,1.799974
FILLER_137_771,VPWR,li1,360.8700,383.5200,1.799974
FILLER_137_768,VPWR,li1,359.4900,383.5200,1.799974
FILLER_137_765,VPWR,li1,358.1100,383.5200,1.799974
FILLER_137_762,VPWR,li1,356.7300,383.5200,1.799974
FILLER_137_759,VPWR,li1,355.3500,383.5200,1.799974
FILLER_137_756,VPWR,li1,353.9700,383.5200,1.799974
FILLER_137_753,VPWR,li1,352.5900,383.5200,1.799974
FILLER_137_750,VPWR,li1,351.2100,383.5200,1.799974
FILLER_137_747,VPWR,li1,349.8300,383.5200,1.799974
FILLER_137_744,VPWR,li1,348.4500,383.5200,1.799974
FILLER_137_741,VPWR,li1,347.0700,383.5200,1.799974
FILLER_137_738,VPWR,li1,345.6900,383.5200,1.799974
FILLER_137_735,VPWR,li1,344.3100,383.5200,1.799974
FILLER_137_732,VPWR,li1,342.9300,383.5200,1.799974
FILLER_137_729,VPWR,li1,341.5500,383.5200,1.799974
FILLER_137_727,VPWR,li1,340.1700,383.5200,1.799974
FILLER_137_724,VPWR,li1,339.2500,383.5200,1.799974
FILLER_137_721,VPWR,li1,337.8700,383.5200,1.799974
FILLER_137_718,VPWR,li1,336.4900,383.5200,1.799974
FILLER_137_715,VPWR,li1,335.1100,383.5200,1.799974
FILLER_137_712,VPWR,li1,333.7300,383.5200,1.799974
FILLER_137_709,VPWR,li1,332.3500,383.5200,1.799974
FILLER_137_706,VPWR,li1,330.9700,383.5200,1.799974
FILLER_137_703,VPWR,li1,329.5900,383.5200,1.799974
FILLER_137_700,VPWR,li1,328.2100,383.5200,1.799974
FILLER_137_697,VPWR,li1,326.8300,383.5200,1.799969
FILLER_137_694,VPWR,li1,325.4500,383.5200,1.799963
FILLER_137_691,VPWR,li1,324.0700,383.5200,1.799963
FILLER_137_688,VPWR,li1,322.6900,383.5200,1.799958
FILLER_137_685,VPWR,li1,321.3100,383.5200,1.799952
FILLER_137_682,VPWR,li1,319.9300,383.5200,1.799952
FILLER_137_679,VPWR,li1,318.5500,383.5200,1.799947
FILLER_137_676,VPWR,li1,317.1700,383.5200,1.799941
FILLER_137_673,VPWR,li1,315.7900,383.5200,1.799941
FILLER_137_671,VPWR,li1,314.4100,383.5200,1.799937
FILLER_137_668,VPWR,li1,313.4900,383.5200,1.799932
FILLER_137_665,VPWR,li1,312.1100,383.5200,1.799932
FILLER_137_662,VPWR,li1,310.7300,383.5200,1.799926
FILLER_137_659,VPWR,li1,309.3500,383.5200,1.799921
FILLER_137_656,VPWR,li1,307.9700,383.5200,1.799921
FILLER_137_653,VPWR,li1,306.5900,383.5200,1.799915
FILLER_137_650,VPWR,li1,305.2100,383.5200,1.799910
FILLER_137_647,VPWR,li1,303.8300,383.5200,1.799910
FILLER_137_644,VPWR,li1,302.4500,383.5200,1.799905
FILLER_137_641,VPWR,li1,301.0700,383.5200,1.799899
FILLER_137_638,VPWR,li1,299.6900,383.5200,1.799899
FILLER_137_635,VPWR,li1,298.3100,383.5200,1.799892
FILLER_137_632,VPWR,li1,296.9300,383.5200,1.799892
FILLER_137_629,VPWR,li1,295.5500,383.5200,1.799885
FILLER_137_626,VPWR,li1,294.1700,383.5200,1.799885
FILLER_137_623,VPWR,li1,292.7900,383.5200,1.799878
FILLER_137_620,VPWR,li1,291.4100,383.5200,1.799878
FILLER_137_617,VPWR,li1,290.0300,383.5200,1.799870
FILLER_137_614,VPWR,li1,288.4200,383.5200,1.799870
FILLER_137_603,VPWR,li1,283.5900,383.5200,1.799858
FILLER_137_576,VPWR,li1,271.1700,383.5200,1.799835
FILLER_137_573,VPWR,li1,269.7900,383.5200,1.799833
FILLER_137_570,VPWR,li1,268.4100,383.5200,1.799833
FILLER_137_567,VPWR,li1,267.0300,383.5200,1.799830
FILLER_137_564,VPWR,li1,265.6500,383.5200,1.799828
FILLER_137_561,VPWR,li1,264.2700,383.5200,1.799828
FILLER_137_557,VPWR,li1,262.4300,383.5200,1.799826
FILLER_137_554,VPWR,li1,261.0500,383.5200,1.799824
FILLER_137_527,VPWR,li1,248.6300,383.5200,1.799813
FILLER_137_524,VPWR,li1,247.2500,383.5200,1.799811
FILLER_137_521,VPWR,li1,245.8700,383.5200,1.799811
FILLER_137_494,VPWR,li1,233.2200,383.5200,1.799809
FILLER_137_491,VPWR,li1,232.0700,383.5200,1.799809
