Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_454,VGND,li1,215.0500,386.2400,0.000266
FILLER_138_451,VGND,li1,213.6700,386.2400,0.000266
FILLER_138_448,VGND,li1,212.2900,386.2400,0.000263
FILLER_138_423,VGND,li1,200.3300,386.2400,0.000236
FILLER_138_315,VGND,li1,150.6500,386.2400,0.000342
FILLER_138_312,VGND,li1,149.7300,386.2400,0.000342
FILLER_138_309,VGND,li1,148.3500,386.2400,0.000354
FILLER_138_307,VGND,li1,146.9700,386.2400,0.000354
FILLER_138_288,VGND,li1,138.6900,386.2400,0.000388
FILLER_138_285,VGND,li1,137.3100,386.2400,0.000395
FILLER_138_235,VGND,li1,113.8500,386.2400,0.000433
FILLER_138_232,VGND,li1,112.9300,386.2400,0.000433
FILLER_138_197,VGND,li1,96.8300,386.2400,0.000408
FILLER_138_178,VGND,li1,87.8600,386.2400,0.000386
FILLER_138_160,VGND,li1,79.5800,386.2400,0.000350
FILLER_138_157,VGND,li1,78.4300,386.2400,0.000350
FILLER_138_139,VGND,li1,69.6900,386.2400,0.000311
FILLER_138_136,VGND,li1,68.7700,386.2400,0.000299
FILLER_138_103,VGND,li1,53.1300,386.2400,0.000218
FILLER_138_100,VGND,li1,52.2100,386.2400,0.000218
FILLER_138_97,VGND,li1,50.8300,386.2400,0.000204
FILLER_138_94,VGND,li1,49.4500,386.2400,0.000204
FILLER_138_91,VGND,li1,48.0700,386.2400,0.000194
FILLER_138_88,VGND,li1,46.6900,386.2400,0.000181
FILLER_138_85,VGND,li1,45.3100,386.2400,0.000181
FILLER_138_83,VGND,li1,43.9300,386.2400,0.000170
FILLER_138_80,VGND,li1,43.0100,386.2400,0.000160
FILLER_138_77,VGND,li1,41.6300,386.2400,0.000160
FILLER_138_74,VGND,li1,40.2500,386.2400,0.000147
FILLER_138_71,VGND,li1,38.8700,386.2400,0.000136
FILLER_138_68,VGND,li1,37.4900,386.2400,0.000136
FILLER_138_65,VGND,li1,36.1100,386.2400,0.000123
FILLER_138_62,VGND,li1,34.7300,386.2400,0.000112
FILLER_138_59,VGND,li1,33.3500,386.2400,0.000112
FILLER_138_56,VGND,li1,31.9700,386.2400,0.000102
FILLER_138_53,VGND,li1,30.5900,386.2400,0.000091
FILLER_138_50,VGND,li1,29.2100,386.2400,0.000081
FILLER_138_47,VGND,li1,27.8300,386.2400,0.000081
FILLER_138_44,VGND,li1,26.4500,386.2400,0.000068
FILLER_138_41,VGND,li1,25.0700,386.2400,0.000057
FILLER_138_38,VGND,li1,23.6900,386.2400,0.000057
FILLER_138_35,VGND,li1,22.3100,386.2400,0.000057
FILLER_138_32,VGND,li1,20.9300,386.2400,0.000057
FILLER_138_29,VGND,li1,19.5500,386.2400,0.000057
FILLER_138_27,VGND,li1,18.1700,386.2400,0.000057
FILLER_138_24,VGND,li1,17.2500,386.2400,0.000057
FILLER_138_21,VGND,li1,15.8700,386.2400,0.000057
FILLER_138_18,VGND,li1,14.4900,386.2400,0.000057
FILLER_138_15,VGND,li1,13.1100,386.2400,0.000057
FILLER_138_12,VGND,li1,11.7300,386.2400,0.000057
FILLER_138_9,VGND,li1,10.3500,386.2400,0.000057
FILLER_138_6,VGND,li1,8.9700,386.2400,0.000057
FILLER_138_3,VGND,li1,7.5900,386.2400,0.000057
FILLER_137_827,VGND,li1,386.6300,386.2400,0.000038
FILLER_137_824,VGND,li1,385.2500,386.2400,0.000038
FILLER_137_821,VGND,li1,383.8700,386.2400,0.000038
FILLER_137_818,VGND,li1,382.4900,386.2400,0.000038
FILLER_137_815,VGND,li1,381.1100,386.2400,0.000038
FILLER_137_812,VGND,li1,379.7300,386.2400,0.000038
FILLER_137_809,VGND,li1,378.3500,386.2400,0.000038
FILLER_137_806,VGND,li1,376.9700,386.2400,0.000038
FILLER_137_803,VGND,li1,375.5900,386.2400,0.000038
FILLER_137_800,VGND,li1,374.2100,386.2400,0.000038
FILLER_137_797,VGND,li1,372.8300,386.2400,0.000038
FILLER_137_794,VGND,li1,371.4500,386.2400,0.000038
FILLER_137_791,VGND,li1,370.0700,386.2400,0.000038
FILLER_137_788,VGND,li1,368.6900,386.2400,0.000038
FILLER_137_785,VGND,li1,367.3100,386.2400,0.000038
FILLER_137_783,VGND,li1,365.9300,386.2400,0.000038
FILLER_137_780,VGND,li1,365.0100,386.2400,0.000038
FILLER_137_777,VGND,li1,363.6300,386.2400,0.000038
FILLER_137_774,VGND,li1,362.2500,386.2400,0.000038
FILLER_137_771,VGND,li1,360.8700,386.2400,0.000038
FILLER_137_768,VGND,li1,359.4900,386.2400,0.000038
FILLER_137_765,VGND,li1,358.1100,386.2400,0.000038
FILLER_137_762,VGND,li1,356.7300,386.2400,0.000038
FILLER_137_759,VGND,li1,355.3500,386.2400,0.000038
FILLER_137_756,VGND,li1,353.9700,386.2400,0.000038
FILLER_137_753,VGND,li1,352.5900,386.2400,0.000038
FILLER_137_750,VGND,li1,351.2100,386.2400,0.000038
FILLER_137_747,VGND,li1,349.8300,386.2400,0.000038
FILLER_137_744,VGND,li1,348.4500,386.2400,0.000038
FILLER_137_741,VGND,li1,347.0700,386.2400,0.000038
FILLER_137_738,VGND,li1,345.6900,386.2400,0.000038
FILLER_137_735,VGND,li1,344.3100,386.2400,0.000038
FILLER_137_732,VGND,li1,342.9300,386.2400,0.000038
FILLER_137_729,VGND,li1,341.5500,386.2400,0.000038
FILLER_137_727,VGND,li1,340.1700,386.2400,0.000038
FILLER_137_724,VGND,li1,339.2500,386.2400,0.000038
FILLER_137_721,VGND,li1,337.8700,386.2400,0.000038
FILLER_137_718,VGND,li1,336.4900,386.2400,0.000038
FILLER_137_715,VGND,li1,335.1100,386.2400,0.000038
FILLER_137_712,VGND,li1,333.7300,386.2400,0.000038
FILLER_137_709,VGND,li1,332.3500,386.2400,0.000038
